epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,165.265,2.05965,3.0379,1.46297,1.27602,0,0.44459,0.43694,0.43007,0.16889,0.42304,0.47082,0.38687,0.13387,2.13017,3.19306,1.65462,1.48275,0,0.00108294,0.00108294,0.00108294
29,171.066,2.08807,3.06027,1.43354,1.26592,0,0.45739,0.40524,0.48406,0.20939,0.40779,0.45937,0.45139,0.15374,2.07987,3.14622,1.6382,1.44324,0,0.00107675,0.00107675,0.00107675
30,176.789,2.13922,3.07624,1.50075,1.27278,0,0.40394,0.45297,0.37557,0.1545,0.34753,0.36835,0.31273,0.12693,2.0765,3.03221,1.80988,1.42791,0,0.00107056,0.00107056,0.00107056
31,182.45,2.07731,3.0111,1.48316,1.27029,0,0.44013,0.41673,0.42322,0.17967,0.42326,0.39615,0.38892,0.14725,2.11713,3.0972,1.63304,1.44776,0,0.00106437,0.00106437,0.00106437
32,188.191,2.12508,3.06267,1.48902,1.26092,0,0.47614,0.50086,0.46097,0.18696,0.4686,0.46684,0.44529,0.14888,2.14572,3.18486,1.55852,1.46181,0,0.00105819,0.00105819,0.00105819
33,193.866,2.06535,3.06264,1.45398,1.25576,0,0.49981,0.44548,0.44072,0.1831,0.52725,0.39589,0.41311,0.14845,2.10526,3.00588,1.60349,1.43941,0,0.001052,0.001052,0.001052
34,199.746,2.07554,2.97512,1.42253,1.25011,0,0.42662,0.48032,0.44685,0.19673,0.36698,0.43783,0.40857,0.16,2.05466,3.03849,1.56379,1.41454,0,0.00104581,0.00104581,0.00104581
35,205.652,2.08263,2.96739,1.42355,1.25201,0,0.42971,0.52321,0.48419,0.19537,0.38519,0.45046,0.41795,0.15385,2.08798,3.04374,1.58275,1.44407,0,0.00103962,0.00103962,0.00103962
36,211.35,2.0523,2.93526,1.41023,1.25608,0,0.49793,0.53036,0.46914,0.18752,0.49367,0.47804,0.43472,0.15241,2.11445,3.03276,1.51029,1.44821,0,0.00103344,0.00103344,0.00103344
37,217.003,2.03457,2.95686,1.40373,1.254,0,0.44664,0.45901,0.41448,0.17054,0.4001,0.38379,0.37228,0.13769,2.12466,3.09919,1.7015,1.46751,0,0.00102725,0.00102725,0.00102725
38,222.751,2.05648,3.00467,1.43876,1.24281,0,0.45709,0.50747,0.44497,0.18735,0.4537,0.47357,0.43906,0.15963,2.12277,2.99323,1.61046,1.44024,0,0.00102106,0.00102106,0.00102106
39,228.522,2.0576,2.98491,1.4282,1.23604,0,0.49701,0.44896,0.4303,0.17743,0.50267,0.39274,0.39705,0.14294,2.08312,2.91569,1.62127,1.4354,0,0.00101488,0.00101488,0.00101488
40,234.125,2.03022,2.89535,1.41345,1.24125,0,0.51965,0.53971,0.51012,0.20131,0.46705,0.48875,0.45906,0.16641,2.01898,2.99717,1.5178,1.41976,0,0.00100869,0.00100869,0.00100869
41,239.78,2.06606,2.96428,1.45386,1.27988,0,0.52344,0.43844,0.48164,0.20278,0.46506,0.44371,0.43392,0.15769,2.07417,3.00261,1.56195,1.42883,0,0.0010025,0.0010025,0.0010025
42,245.441,2.04451,2.96826,1.4048,1.25738,0,0.42246,0.42906,0.42115,0.17657,0.4108,0.40209,0.38744,0.14412,2.05532,2.93165,1.54662,1.43651,0,0.000996313,0.000996313,0.000996313
43,251.131,2.01653,2.92195,1.38689,1.23167,0,0.48079,0.52419,0.48259,0.19355,0.43193,0.47833,0.43447,0.15337,2.07292,3.11056,1.55942,1.46402,0,0.000990125,0.000990125,0.000990125
44,256.917,2.03141,2.92523,1.34867,1.22488,0,0.49132,0.55235,0.52529,0.21397,0.46421,0.46163,0.44482,0.16892,2.11947,3.0333,1.54576,1.45972,0,0.000983938,0.000983938,0.000983938
